place_id,name,address,lat,lng,rating,user_ratings_total,price_level,types,pincode,locality,district,demand_score,ward_id,ward_name,cuisines,area_name,ui_categories,primary_category
ChIJx2QfEBfa5zsRmWh__RtORqs,Hotel Uran Plaza,"Beachead, Nagaon Beach, Nagaon, Uran, Navi Mumbai, Maharashtra 400702, India",18.8722617,72.9187559,4.0,1150.0,,"hotel,resort_hotel,restaurant,food,lodging,point_of_interest,establishment",400702,Karanja,RAIGAD,28.19354563488753,,,"Hotel, Lodging, Resort Hotel, Restaurant",Other,Restaurant (General),Restaurant (General)
ChIJfSCUOkTb5zsRLIaL65X69JU,RAM RATAN AASHIYANA BEACH RESORT,"VW9F+RX5, Warikh Aali, Nagaon, Uran, Navi Mumbai, Maharashtra 400702, India",18.8694962,72.9250575,4.3,576.0,,"resort_hotel,hotel,restaurant,food,lodging,point_of_interest,establishment",400702,Karanja,RAIGAD,27.338721745984827,,,"Hotel, Lodging, Resort Hotel, Restaurant",Other,Restaurant (General),Restaurant (General)
ChIJ63Sncjfa5zsRYExGOFv8bJE,Vaishnavi Pure Veg,"NMMT Last Stop, Taluk, Uran, Navi Mumbai, Maharashtra 400702, India",18.8802437,72.9356565,3.8,1841.0,PRICE_LEVEL_MODERATE,"vegetarian_restaurant,restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,28.57070742389796,,,"Restaurant, Vegetarian Restaurant",Other,Restaurant (General),Restaurant (General)
ChIJOZ9h2jDa5zsRyyP7x7HK-ZM,RamRatan Shamiyana Veg - Non Veg Restaurant,"Kaamtha Rd, Kaamtha, Uran, Navi Mumbai, Maharashtra 400702, India",18.8771248,72.9365636,4.0,1706.0,PRICE_LEVEL_MODERATE,"restaurant,indian_restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,29.769970891177763,,,"Indian, Restaurant",Other,Indian,Indian
ChIJr1s3tzba5zsRRp8DdLGdru0,Rajpal Bar & Restaurant,"Bazar Peth, Uran, Navi Mumbai, Maharashtra 400702, India",18.878846,72.939,3.8,697.0,PRICE_LEVEL_MODERATE,"restaurant,bar,fast_food_restaurant,breakfast_restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,24.883232590497013,,,"Bar, Breakfast, Fast Food Restaurant, Restaurant",Other,"Fast Food, Breakfast / Brunch",Fast Food
ChIJ0QIEAgXb5zsRYmr1klymeeA,Domino’s Pizza,"VWHP+M43, Uran, Mhatwali, Navi Mumbai, Maharashtra 400702, India",18.8791295,72.9353325,3.0,397.0,,"pizza_restaurant,restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,17.959356015853313,,,"Pizza, Restaurant",Other,Pizza,Pizza
ChIJH9BRTgDb5zsRpRIoZrn7f9g,Dining Rituals - Family Restaurant Uran,"VWJP+R45, Uran-Bori Rd, Uran, Navi Mumbai, Bori, Maharashtra 400702, India",18.8823637,72.9355288,4.3,114.0,,"restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,20.403208151961977,,,Restaurant,Other,Restaurant (General),Restaurant (General)
ChIJZYSgYzHa5zsR4Cy0p3DLAlg,Sahyadri Bar & Restaurant,"VWGQ+GXJ, Shreeraj Nagar, Uran, Navi Mumbai, Maharashtra 400702, India",18.8763464,72.9398877,4.0,271.0,,"bar_and_grill,bar,breakfast_restaurant,restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,22.42320826518399,,,"Bar, Bar And Grill, Breakfast, Restaurant",Other,Breakfast / Brunch,Breakfast / Brunch
ChIJyzsG7_Ta5zsRB4EufsY7Aac,Monginis Cake Shop,"Shop No 1, Madhurim Apartment, Uran - Mora Rd, opposite SBI Bank, Uran, Navi Mumbai, Maharashtra 400702, India",18.8796874,72.93782159999999,4.7,200.0,PRICE_LEVEL_MODERATE,"dessert_restaurant,dessert_shop,confectionery,wholesaler,bakery,food_store,restaurant,food,store,point_of_interest,establishment",400702,Karanja,RAIGAD,24.92553306787765,,,"Bakery, Confectionery, Dessert, Dessert Restaurant, Food Store, Restaurant, Wholesaler",Other,"Bakery, Dessert",Bakery
ChIJdTN_Lzbb5zsRGCxfdkmHkbI,House 172 Wood Fire Pizza & more.,"House 172, wood fire pizza Restaurant, ONGC pirvadi road, near virakhta ashram, Warikh Aali, Nagaon, Uran, Navi Mumbai, Maharashtra 400702, India",18.8686873,72.9254594,4.7,100.0,PRICE_LEVEL_MODERATE,"pizza_restaurant,restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,21.69106642915392,,,"Pizza, Restaurant",Other,Pizza,Pizza
ChIJCYvo_-_b5zsR62u0OT-ouiM,Krabi Multi-cuisine Restaurant,"VWFG+V28, Warikh Aali, Nagaon, Uran, Navi Mumbai, Maharashtra 400702, India",18.8746551,72.9250742,4.0,6.0,,"restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,7.783640596221253,,,Restaurant,Other,Restaurant (General),Restaurant (General)
ChIJH2ElHG_b5zsRZsAOSUIBeu8,SWAAD RESTAURANT,"Pensioners Park, Uran, Navi Mumbai, Maharashtra 400702, India",18.8810517,72.9358572,3.7,56.0,,"restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,14.959289690987836,,,Restaurant,Sion,Restaurant (General),Restaurant (General)
ChIJUf0UwALb5zsRCAIfke1ua_g,SNS Retreat,"Pansare Wadi, opp. Swami Samarth Math, Bhavra, Kegaon, Uran, Navi Mumbai, Maharashtra 400702, India",18.8817821,72.9265339,4.7,27.0,,"resort_hotel,hotel,swimming_pool,restaurant,food,lodging,sports_activity_location,point_of_interest,establishment",400702,Karanja,RAIGAD,15.661361197823458,,,"Hotel, Lodging, Resort Hotel, Restaurant, Sports Activity Location, Swimming Pool",Other,Restaurant (General),Restaurant (General)
ChIJF3ZYCr_b5zsReTuvMGwpYxI,Veg O licious,"Shop no. 3, Sai Prerna Apartment, Uran - Mora Rd, opp. to Dashashri Mali Complex Hall, Uran, Navi Mumbai, Maharashtra 400702, India",18.8799134,72.9369629,4.8,60.0,,"restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,19.73219454803189,,,Restaurant,Other,Restaurant (General),Restaurant (General)
ChIJjT2cJDjb5zsR8gvbZGNSLVo,Food Plaza,"Food Plaza - Shop No.3 Near UES School Mora Road, Uran-Bori Rd, Uran, Bori, Maharashtra 400702, India",18.8820258,72.9353552,4.5,80.0,,"restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,19.77502119602597,,,Restaurant,Other,Restaurant (General),Restaurant (General)
ChIJ9z__lzba5zsRLBcB2d07f-c,Gupta Sandwich & Juice Center,"Bazar Peth, Uran, Navi Mumbai, Maharashtra 400702, India",18.8797285,72.9394069,4.4,266.0,PRICE_LEVEL_MODERATE,"cafe,vegetarian_restaurant,breakfast_restaurant,restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,24.5838940969611,,,"Breakfast, Cafe, Restaurant, Vegetarian Restaurant",Other,"Cafe, Breakfast / Brunch",Cafe
ChIJGRrARQ_b5zsRWYeFsieI2eE,Momomia,"Shop no 5, sonu apartment, Kaamtha Rd, opp. Apna sahakari Bank, Uran, Navi Mumbai, Maharashtra 400702, India",18.8778456,72.936014,4.6,204.0,,"restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,24.48584590403668,,,Restaurant,Other,Restaurant (General),Restaurant (General)
ChIJVxyOGV7b5zsRltxQGqi8VSM,Hotel Sagri Kinara,"VW6F+RJC, ONGC Rd, Nagaon, Uran, Navi Mumbai, Maharashtra 400702, India",18.8620593,72.9240244,4.5,44.0,,"restaurant,food,point_of_interest,establishment",400702,Karanja,RAIGAD,17.129981203966437,,,Restaurant,Other,Restaurant (General),Restaurant (General)
