place_id,name,locality,rating,user_ratings_total,cuisines,primary_category
ChIJx2QfEBfa5zsRmWh__RtORqs,Hotel Uran Plaza,Karanja,4.0,1150.0,"Hotel, Lodging, Resort Hotel, Restaurant",Restaurant (General)
ChIJfSCUOkTb5zsRLIaL65X69JU,RAM RATAN AASHIYANA BEACH RESORT,Karanja,4.3,576.0,"Hotel, Lodging, Resort Hotel, Restaurant",Restaurant (General)
ChIJ63Sncjfa5zsRYExGOFv8bJE,Vaishnavi Pure Veg,Karanja,3.8,1841.0,"Restaurant, Vegetarian Restaurant",Restaurant (General)
ChIJOZ9h2jDa5zsRyyP7x7HK-ZM,RamRatan Shamiyana Veg - Non Veg Restaurant,Karanja,4.0,1706.0,"Indian, Restaurant",Indian
ChIJr1s3tzba5zsRRp8DdLGdru0,Rajpal Bar & Restaurant,Karanja,3.8,697.0,"Bar, Breakfast, Fast Food Restaurant, Restaurant",Fast Food
ChIJ0QIEAgXb5zsRYmr1klymeeA,Domino’s Pizza,Karanja,3.0,397.0,"Pizza, Restaurant",Pizza
ChIJH9BRTgDb5zsRpRIoZrn7f9g,Dining Rituals - Family Restaurant Uran,Karanja,4.3,114.0,Restaurant,Restaurant (General)
ChIJZYSgYzHa5zsR4Cy0p3DLAlg,Sahyadri Bar & Restaurant,Karanja,4.0,271.0,"Bar, Bar And Grill, Breakfast, Restaurant",Breakfast / Brunch
ChIJyzsG7_Ta5zsRB4EufsY7Aac,Monginis Cake Shop,Karanja,4.7,200.0,"Bakery, Confectionery, Dessert, Dessert Restaurant, Food Store, Restaurant, Wholesaler",Bakery
ChIJdTN_Lzbb5zsRGCxfdkmHkbI,House 172 Wood Fire Pizza & more.,Karanja,4.7,100.0,"Pizza, Restaurant",Pizza
ChIJCYvo_-_b5zsR62u0OT-ouiM,Krabi Multi-cuisine Restaurant,Karanja,4.0,6.0,Restaurant,Restaurant (General)
ChIJH2ElHG_b5zsRZsAOSUIBeu8,SWAAD RESTAURANT,Karanja,3.7,56.0,Restaurant,Restaurant (General)
ChIJUf0UwALb5zsRCAIfke1ua_g,SNS Retreat,Karanja,4.7,27.0,"Hotel, Lodging, Resort Hotel, Restaurant, Sports Activity Location, Swimming Pool",Restaurant (General)
ChIJF3ZYCr_b5zsReTuvMGwpYxI,Veg O licious,Karanja,4.8,60.0,Restaurant,Restaurant (General)
ChIJjT2cJDjb5zsR8gvbZGNSLVo,Food Plaza,Karanja,4.5,80.0,Restaurant,Restaurant (General)
ChIJ9z__lzba5zsRLBcB2d07f-c,Gupta Sandwich & Juice Center,Karanja,4.4,266.0,"Breakfast, Cafe, Restaurant, Vegetarian Restaurant",Cafe
ChIJGRrARQ_b5zsRWYeFsieI2eE,Momomia,Karanja,4.6,204.0,Restaurant,Restaurant (General)
ChIJVxyOGV7b5zsRltxQGqi8VSM,Hotel Sagri Kinara,Karanja,4.5,44.0,Restaurant,Restaurant (General)
ChIJb9Tjn1_b5zsReRGbnCUlmaE,HOTEL DEVGOND KINARA,Karanja,4.1,16.0,Restaurant,Restaurant (General)
ChIJFR5aGxzb5zsRl8Ld8GgC4Wk,Cafe Time,Karanja,4.5,111.0,"Cafe, Fast Food Restaurant, Pizza, Restaurant",Pizza
ChIJHUfTbzfa5zsRi3hJhlbCdCc,Bunkerzzz Cafe,Karanja,4.1,771.0,"Cafe, Coffee, Food Store",Cafe
ChIJfQGMzTDa5zsRd96STnSjrKg,Bourbon Cafe,Karanja,4.3,11.0,Cafe,Cafe
ChIJpXYEljba5zsRitSjoQ7WbUU,Yusufi Soda Factory,Karanja,4.5,61.0,Cafe,Cafe
ChIJa4QU3TDb5zsRl3eV0avSTc8,Cafe Cheesy Delight,Karanja,5.0,17.0,Cafe,Cafe
ChIJj7KcXIDb5zsRIl_zRJbYHi8,Healthy Juice Center & Snacks Corner,Karanja,4.5,12.0,Cafe,Cafe
ChIJ4VE5BlHb5zsRnR_1VhOYlt8,Am To Pm Cafe & Gamezone,Karanja,4.3,226.0,Cafe,Cafe
ChIJExG2NQDb5zsR16hfUVWtq5g,Brew Heaven cafe,Karanja,,,"Cafe, Coffee, Food Store",Cafe
ChIJlzztRADb5zsR579hWoOyXQ8,Balai,Karanja,,,"Cafe, Coffee, Food Store",Cafe
ChIJ641fGDHb5zsRMAf3NxwNB0w,Mahadev Tea Centre,Karanja,5.0,2.0,"Cafe, Coffee, Food Store",Cafe
ChIJDScBNMfb5zsRPUcrAT55ZR8,Zuif cafe ☕️,Karanja,,,Cafe,Cafe
ChIJdchqABHb5zsRugwsmQnbJNU,ECO TEA BAR,Karanja,5.0,3.0,Cafe,Cafe
ChIJLafBa2jb5zsRgwiJg7f3fEc,Rama complex raghoba mandir kotnaka,Karanja,4.5,2.0,Cafe,Cafe
ChIJhxpQbpLb5zsR_o2IcdN7Uqg,AHTISAM KHAN CHICKEN SHOP,Karanja,,,"Cafe, Coffee, Food Store",Cafe
ChIJ7zgAE6Db5zsRYK-3a68FFhA,GOGA BURGGER,Karanja,5.0,3.0,"Restaurant, Takeaway",Restaurant (General)
ChIJ49a4dwDb5zsRToLJEf3uIkA,7 up soda hub & smacks corner,Karanja,,,"Restaurant, Takeaway",Restaurant (General)
ChIJJTzinLjb5zsRWcUbqki6fsw,Pizza House,Karanja,,,"Restaurant, Takeaway",Restaurant (General)
ChIJd29wjrXb5zsRzdJmFrEV9Qc,MJ Snacks corner,Karanja,,,"Restaurant, Takeaway",Restaurant (General)
ChIJXYYVQTHa5zsRGA76Prqvl5g,New Om Sai Koliwada Chinese Corner,Karanja,,,"Fast Food Restaurant, Restaurant, Takeaway",Fast Food
ChIJeVlanzba5zsRUE-saPM5dxk,Udupi Snacks,Karanja,,,"Restaurant, Takeaway",Restaurant (General)
ChIJ-4VrZGjb5zsRRahyzfTxAUc,Bake N Cake,Karanja,4.9,39.0,"Bakery, Food Store, Wholesaler",Bakery
ChIJlTCWcjfa5zsRdeUI1s2-ySM,The Cake World,Karanja,4.3,181.0,"Bakery, Food Store, Wholesaler",Bakery
ChIJDSw96xXb5zsRoMyzHqRyB3g,Iyengar bakery,Karanja,4.0,1.0,"Bakery, Food Store",Bakery
ChIJAduaLaPb5zsR6yByU_Nx1Lo,Shades of cake,Karanja,4.9,7.0,"Bakery, Food Store",Bakery
ChIJ3fmL9K_b5zsRD2vWGppNL3M,City Bakery,Karanja,5.0,1.0,"Bakery, Food Store",Bakery
ChIJ_eHuDrHb5zsRus5_j0za42w,Leela Cakes and more Uran,Karanja,3.8,13.0,"Bakery, Food Store",Bakery
ChIJK1XH1TPa5zsR8a5HazOZc5o,Cake & Cream,Karanja,4.1,90.0,"Bakery, Food Store, Wholesaler",Bakery
ChIJN4gGlA3b5zsRiEUkKFPBuHY,Saraswati Bakery,Karanja,5.0,2.0,"Bakery, Food Store",Bakery
ChIJ582FbLfb5zsRNd5yPxebIRc,The Cake World,Karanja,4.5,22.0,"Bakery, Food Store",Bakery
ChIJObYguwfb5zsRSF981a-MEuw,Balaji Corner,Karanja,4.0,2.0,"Bakery, Food Store",Bakery
ChIJrRV0Rxrb5zsRWUIeSGFkQTs,Shraddha's Creations,Karanja,4.9,82.0,"Bakery, Food Store, Wholesaler",Bakery
ChIJjzK-pVrb5zsRvB06vfCIKW8,Cake Katta,Karanja,5.0,1.0,"Bakery, Food Store, Wholesaler",Bakery
ChIJ6b6OyDba5zsR6bppb_Z8yTs,U2 Cake,Karanja,,,"Bakery, Food Store",Bakery
ChIJr-VsKlHb5zsRkIbB7xwsLmA,Little More Cream,Karanja,5.0,27.0,"Bakery, Food Store",Bakery
ChIJwXOxUXbZ5zsRXbP2unzIMVg,New Uran Bakery,Karanja,5.0,4.0,"Bakery, Food Store",Bakery
ChIJQXKA3XDb5zsRdB0yACc_y_g,New Freshup Bekary,Karanja,,,"Bakery, Food Store",Bakery
